select * from CLTLIBD1X.XACTIVITY0 where ACCTNBR='369822440' and TRANSTYPE='45' and ACTMISC like 'A%':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='BYPASS':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA01':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA02':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA03':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA04':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA05':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA06':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA07':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA08':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA09':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA10':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA11':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA12':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA14':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA15':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA16':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA17':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA18':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA19':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA20':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA21':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA22':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA23':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA24':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA25':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA26':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TSA27':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS201':1
select * from CLTLIBD1X.XPRODRCVD0 where ACCTNBR='369822440' and REASONIND='B' and OPERIDNBR='302' and PRODNBR='TS202':1
